ACCT,8730,Intl/Spec Tax Topic,38%,47%,16%,0%,0%,0%,0%,0%,0%,"Kisska-Schulze, Kathryn"
ACCT,8810,Internal Controls,78%,22%,0%,0%,0%,0%,0%,0%,0%,"Pearse, Suzanne"
AGED,2030,Teaching Agriscience,33%,50%,8%,0%,0%,0%,0%,8%,0%,"DiBenedetto, Catherine A"
AGED,4800,Digital Media & Learning,65%,15%,15%,5%,0%,0%,0%,0%,0%,"Layfield, Kevin D"
AGM,2050,Prin of Fabrication,20%,46%,24%,6%,4%,0%,0%,0%,0%,"Massey, Hunter F"
AGM,2050,Prin of Fabrication,20%,46%,24%,6%,4%,0%,0%,0%,0%,"Massey, Hunter F"
AGM,2060,Machinery Management,30%,57%,8%,0%,5%,0%,0%,0%,0%,"Massey, Hunter F"
AGM,2060,Machinery Management,30%,57%,8%,0%,5%,0%,0%,0%,0%,"Massey, Hunter F"
AGM,2210,Land Measurements,49%,35%,11%,6%,0%,0%,0%,0%,0%,"Teddy, Brennan Edward"
AGM,4020,Irrigation System Design,17%,50%,31%,0%,3%,0%,0%,0%,0%,"Privette, Charles V"
AGM,4100,Precision Ag Tech,42%,19%,16%,10%,6%,0%,0%,6%,0%,"Massey, Hunter F"
AGM,4100,Precision Ag Tech,42%,19%,16%,10%,6%,0%,0%,6%,0%,"Massey, Hunter F"
AGM,4520,Mobile Power,29%,42%,23%,0%,6%,0%,0%,0%,0%,"Koc, Ali Bulent"
AGM,4720,Capstone,47%,16%,37%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul"
AGRB,2020,Agricultural Economics,15%,20%,28%,20%,13%,0%,0%,4%,0%,"Vertino De Queiroz, Pedro Wesley"
AGRB,2050,Agriculture and Society,32%,39%,20%,5%,2%,0%,0%,2%,0%,"Vertino De Queiroz, Pedro Wesley"
AGRB,3080,Quant Agribusiness Analysi,47%,16%,16%,16%,6%,0%,0%,0%,0%,"Herrin, Gracie Elizabeth"
AGRB,3190,Agribusiness Management,12%,21%,17%,36%,12%,0%,0%,2%,0%,"Vassalos, Michael"
AGRB,3510,Prin of Agricultural Sales M,19%,38%,38%,0%,4%,0%,0%,0%,0%,"Vertino De Queiroz, Pedro Wesley"
AGRB,3570,Natural Resources Econom,21%,25%,17%,15%,12%,0%,0%,10%,0%,"Willis, David Brian"
AGRB,4020,Production Economics,17%,13%,17%,21%,25%,0%,0%,8%,0%,"De Figueiredo Silva, Felipe"
AGRB,4080,Quant Agribusiness Analysi,17%,28%,28%,17%,6%,0%,0%,6%,0%,"Hassett, Anastasia Thayer"
AGRB,4560,Prices,3%,37%,23%,17%,17%,0%,0%,3%,0%,"De Figueiredo Silva, Felipe"
AGRB,4570,"Natural Res Use, Tech & P",21%,5%,47%,11%,16%,0%,0%,0%,0%,"Willis, David Brian"
AL,3490,Principles of Coaching,88%,8%,4%,0%,0%,0%,0%,0%,0%,"Cadorette, Deborah Jo"
AL,3490,Principles of Coaching,75%,13%,8%,4%,0%,0%,0%,0%,0%,"Cadorette, Deborah Jo"
AL,3490,Principles of Coaching,64%,20%,12%,0%,0%,0%,0%,4%,0%,"Cadorette, Deborah Jo"
AL,3490,Principles of Coaching,63%,29%,0%,0%,4%,0%,0%,4%,0%,"Cadorette, Deborah Jo"
AL,3490,Principles of Coaching,69%,23%,8%,0%,0%,0%,0%,0%,0%,"Cadorette, Deborah Jo"
AL,3490,Principles of Coaching,52%,28%,12%,8%,0%,0%,0%,0%,0%,"Connor, Clyde Keith"
AL,3490,Principles of Coaching,92%,8%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H"
AL,3490,Principles of Coaching,84%,12%,0%,0%,4%,0%,0%,0%,0%,"Plumblee, John T"
AL,3490,Principles of Coaching,72%,16%,0%,4%,0%,0%,0%,8%,0%,"Plumblee, John T"
AL,3490,Principles of Coaching,73%,19%,0%,0%,8%,0%,0%,0%,0%,"Mezzanotte, Frank P"
AL,3490,Principles of Coaching,85%,8%,4%,0%,4%,0%,0%,0%,0%,"Mezzanotte, Frank P"
AL,3490,Principles of Coaching,80%,8%,4%,4%,4%,0%,0%,0%,0%,"Whitrow, Nicholas Philip Edward"
AL,3490,Principles of Coaching,88%,8%,0%,4%,0%,0%,0%,0%,0%,"Whitrow, Nicholas Philip Edward"
AL,3500,Sci Basis I/Ex Phy,32%,28%,20%,20%,0%,0%,0%,0%,0%,"Godfrey, Michael G"
AL,3500,Sci Basis I/Ex Phy,20%,40%,32%,8%,0%,0%,0%,0%,0%,"Godfrey, Michael G"
AL,3520,Kinesiology,29%,14%,7%,14%,7%,0%,0%,29%,0%,"Colbert, Isaac Sean"
AL,3530,Athletic Injuries,44%,24%,20%,4%,4%,0%,0%,4%,0%,"Colbert, Isaac Sean"
