Course,Title,A,B,C,D,F,P,N(P),W,I,Number,Professor
BIOL,"BIOL3060Baeza Migueles, Juan Antonio",22.25%,32%,18%,15.50%,7%,0%,0%,6%,0%,3060,"Baeza Migueles, Juan Antonio"
BIOL,"BIOL3080Redding, Nathan W",72.67%,19%,4.33%,2%,2.67%,0%,0%,0%,0%,3080,"Redding, Nathan W"
BIOL,Human Physiology,22%,47%,25%,5%,0%,0%,0%,1%,0%,3160,"McNutt-Scott, Tamara L."
BIOL,Evolutionary Biology,29%,33%,24%,12%,2%,0%,0%,2%,0%,3350,"Price, Samantha Ann"
BIOL,Forensic Anthropology,72%,28%,0%,0%,0%,0%,0%,0%,0%,3530,"Tremblay, Suzanna Eve"
BIOL,Plant Physiology,52%,38%,6%,3%,0%,0%,0%,1%,0%,4010,"Liu, Haibo"
BIOL,Plant Physiology Lab,81%,12%,0%,4%,0%,0%,0%,4%,0%,4020,"Liu, Haibo"
BIOL,Neurobiology of Disease,39%,33%,9%,9%,6%,0%,0%,3%,0%,4210,"Feliciano, David M"
BIOL,Marine Ecology,41%,44%,11%,3%,0%,0%,0%,0%,0%,4480,"Childress, Michael J"
BIOL,Cell Biology,23%,33%,20%,15%,4%,0%,0%,4%,1%,4610,"Bain, Lisa J"
BIOL,"BIOL4610Qanungo, Kaustubha Ratan",41.67%,30.67%,14%,9.33%,1%,0%,0%,3%,0%,4610,"Qanungo, Kaustubha Ratan"
BIOL,"BIOL4620Yu, Xianzhong",88.50%,11.50%,0%,0%,0%,0%,0%,0%,0%,4620,"Yu, Xianzhong"
BIOL,Mammalogy,83%,0%,9%,0%,0%,0%,0%,9%,0%,4640,"Cummings, John R"
BIOL,"BIOL4700Abernathy, Virginia Ellen",58.50%,23.50%,11%,4%,1.50%,0%,0%,0.50%,0%,4700,"Abernathy, Virginia Ellen"
BIOL,Behavioral Ecology Lab (Le,64%,21%,0%,0%,14%,0%,0%,0%,0%,4710,"Childress, Michael J"
BIOL,Stem Cell Biology,82%,16%,2%,0%,0%,0%,0%,0%,0%,4830,"Gallicchio, Vincent S"
BIOL,Sr Sem: 12 Diseases Chgd,87%,13%,0%,0%,0%,0%,0%,0%,0%,4930,"Cao, Min"
BIOL,Sr Sem: Plants & Humanity,88%,6%,0%,0%,0%,0%,0%,6%,0%,4930,"Endara, Carmen Lorena"
BIOL,Sr Sem: Hist Life & Extincti,81%,6%,6%,0%,6%,0%,0%,0%,0%,4930,"Espinoza, Nora R"
BIOL,Sr Sem: Climate Change Ec,88%,6%,0%,0%,0%,0%,0%,6%,0%,4930,"May, Cassandra Joy"
BIOL,Sr Sem: Glob Hlth-Negl Dis,58%,33%,8%,0%,0%,0%,0%,0%,0%,4930,"Temesvari, Lesly"
BIOL,Sr Sem: Immunol & Immun,89%,6%,6%,0%,0%,0%,0%,0%,0%,4930,"Wei, Yanzhang"
BIOL,CI: Whiptail Lizards,86%,0%,0%,0%,0%,0%,0%,0%,14%,4940,"Bewick, Sharon"
BIOL,Plant Physiology,67%,17%,0%,0%,0%,0%,0%,17%,0%,6010,"Liu, Haibo"
BIOL,Cell Biology,33%,33%,17%,0%,17%,0%,0%,0%,0%,6610,"Bain, Lisa J"
BIOL,Readings in Ecology,0%,0%,0%,0%,0%,100%,0%,0%,0%,8070,"Jodice, Patrick G"
BIOL,Readings in Evolution,0%,0%,0%,0%,0%,100%,0%,0%,0%,8070,"Parkinson, Christopher L"
BIOL,Readings in MCDB,0%,0%,0%,0%,0%,100%,0%,0%,0%,8070,"Temesvari, Lesly"
BIOL,Seminar,0%,0%,0%,0%,0%,100%,0%,0%,0%,8120,"Dou, Zhicheng"
BIOL,Scientific Writing in Biolog,85%,8%,0%,0%,8%,0%,0%,0%,0%,8140,"Sears, Michael W"
BIOL,Underst Genetics & Evol Bi,87%,10%,1%,0%,1%,0%,0%,0%,0%,8430,"Ptacek, Margaret"
BIOL,Understanding Animal Biol,85%,14%,0%,0%,1%,0%,0%,0%,0%,8450,"Abernathy, Virginia Ellen"
BIOL,Understanding Microbiolo,98%,2%,0%,0%,0%,0%,0%,0%,0%,8470,"Qanungo, Kaustubha Ratan"
BIOL,Understanding Scientific Rs,95%,0%,0%,0%,0%,0%,0%,0%,5%,8480,"Ballard, Robert Edward"
BUS,"BUS1010Balts, Keith W",31.50%,39.50%,16%,7%,0%,0%,0%,6%,0%,1010,"Balts, Keith W"
BUS,"BUS1010Danuser, Emily Nicole",32.50%,28%,18%,9.50%,1.50%,0%,0%,9.50%,1.50%,1010,"Danuser, Emily Nicole"
BUS,"BUS1010Kennedy, Alexis Michelle",20.50%,34%,18%,8.50%,15%,0%,0%,4%,0%,1010,"Kennedy, Alexis Michelle"
BUS,"BUS1010Onan, David Lander",29%,33%,18%,9.50%,6.50%,0%,0%,4%,0%,1010,"Onan, David Lander"
BUS,"BUS1010Tumblin, William Ernest",45.67%,32.33%,10.83%,2.33%,2%,0%,0%,7%,0%,1010,"Tumblin, William Ernest"
BUS,Leadership Practicum-Self/,74%,19%,4%,0%,0%,0%,0%,4%,0%,2990,"Balts, Keith W"
CAP,"CAP1010Wilson, Meredith Fant",0%,0%,0%,0%,0%,100%,0%,0%,0%,1010,"Wilson, Meredith Fant"
CCPD,Navigating Social Interacti,50%,17%,8%,0%,0%,0%,0%,8%,17%,1620,"Beeson, Thomas Stuart"
CE,Statics,13%,36%,26%,5%,8%,0%,0%,13%,0%,2010,"Nilsson, R Kent"
CE,Statics,57%,24%,14%,2%,2%,0%,0%,0%,0%,2010,"Ross, Brandon E"
CE,"CE2010Sternhagen, Melissa M",13%,31.50%,30.50%,3%,11.50%,0%,0%,11%,0%,2010,"Sternhagen, Melissa M"
CE,"CE2010Stoner, Michael Wallace",23%,28.50%,26.50%,8%,8.50%,0%,0%,5.50%,0%,2010,"Stoner, Michael Wallace"
CE,Structural Mechanics,13%,33%,32%,7%,12%,0%,0%,3%,0%,2060,"Cousins, Thomas Edford"
CE,Structural Mechanics,21%,28%,26%,9%,14%,0%,0%,3%,0%,2060,"Sternhagen, Melissa M"
CE,"CE2080Kaye, Nigel Gregory",36%,34.50%,21.50%,2%,4%,0%,0%,2%,1%,2080,"Kaye, Nigel Gregory"
CE,Geomatics,30%,38%,18%,8%,4%,0%,0%,1%,0%,2550,"Sarasua, Wayne A"
CE,"CE2990Rangaraju, Prasada Rao",85%,8%,8%,0%,0%,0%,0%,0%,0%,2990,"Rangaraju, Prasada Rao"
CE,Structural Analysis,32%,23%,30%,9%,5%,0%,0%,2%,0%,3010,"Cousins, Thomas Edford"
CE,Transportation Engr,45%,41%,14%,1%,0%,0%,0%,0%,0%,3110,"Murray-Tuite, Pamela Marie"
CE,Geotechnical Engineering,35%,35%,25%,3%,0%,0%,0%,3%,0%,3210,"Andrus, Ronald D."
CE,Geotechnical Engineering,53%,36%,8%,0%,0%,0%,0%,3%,0%,3210,"Tasnim, Zakia"
CE,Constr Engr & Mgmnt,21%,39%,27%,9%,3%,0%,0%,0%,0%,3310,"Rockow, Zoraya Roldan"
CE,Intro to Fluid Mechanics,19%,42%,16%,10%,10%,0%,0%,1%,0%,3410,"Khan, Abdul A"
CE,Hydraulics & Hydro,26%,30%,39%,0%,0%,0%,0%,4%,0%,3420,"Khan, Abdul A"
CE,Hydraulics & Hydro,53%,35%,11%,2%,0%,0%,0%,0%,0%,3420,"Mishra, Ashok"
CE,"CE3430Kaye, Nigel Gregory",70.33%,22.67%,4.67%,0%,0%,0%,0%,2.33%,0%,3430,"Kaye, Nigel Gregory"
CE,Civil Engineering Materials,46%,40%,15%,0%,0%,0%,0%,0%,0%,3510,"Rangaraju, Prasada Rao"
CE,Econ Eval of Proj,58%,33%,7%,2%,0%,0%,0%,0%,0%,3520,"Le, Tuyen Thanh"
CE,Econ Eval of Proj,74%,16%,7%,2%,0%,0%,0%,0%,0%,3520,"Li, Da"
CE,Professional Seminar,90%,8%,1%,1%,1%,0%,0%,0%,0%,3530,"Ogle, Jennifer H"
CE,Matrix Str Analysis,38%,33%,14%,10%,0%,0%,0%,5%,0%,4010,"Redmond, Laura Mae"
CE,Reinfor Con Design,23%,37%,37%,0%,2%,0%,0%,0%,0%,4020,"Ross, Brandon E"
CE,Struct Steel Design,26%,62%,10%,0%,0%,0%,0%,3%,0%,4060,"Stoner, Michael Wallace"
CE,Urban Transportation Plan,46%,31%,15%,8%,0%,0%,0%,0%,0%,4120,"Khan, Sakib Mahmud"
CE,Geotechnical Design,18%,41%,25%,14%,2%,0%,0%,0%,0%,4210,"Ravichandran, Nadarajah"
CE,Con Eqpmt Sel & Main,62%,33%,2%,0%,2%,0%,0%,0%,0%,4390,"Le, Tuyen Thanh"
CE,Water Resources Engr,14%,43%,21%,14%,0%,0%,0%,7%,0%,4430,"Khan, Abdul A"
CE,Capstone Design Proj,35%,53%,10%,0%,1%,0%,0%,0%,0%,4590,"Rockow, Zoraya Roldan"
CE,Coastal Engr I,12%,52%,28%,8%,0%,0%,0%,0%,0%,4620,"Hayter, Earl J"
CE,"CE4910Chalil Madathil, Kapil",73.50%,23.50%,3%,0%,0%,0%,0%,0%,0%,4910,"Chalil Madathil, Kapil"
CE,Corrosion and Oxidation,22%,56%,22%,0%,0%,0%,0%,0%,0%,4910,"Esmaeilpoursaee, Amirreza"
CE,Cr Inq in Civil Engineering,75%,0%,0%,0%,0%,0%,0%,25%,0%,4990,"Li, Da"
CE,Matrix Str Analysis,67%,17%,0%,0%,17%,0%,0%,0%,0%,6010,"Redmond, Laura Mae"
CE,Urban Transportation Plan,60%,20%,0%,0%,0%,0%,0%,20%,0%,6120,"Khan, Sakib Mahmud"
CE,Adv Steel Design,44%,48%,7%,0%,0%,0%,0%,0%,0%,8030,"Naser, Mohannad Z"
CE,Adv Struc Mech,68%,32%,0%,0%,0%,0%,0%,0%,0%,8050,"Redmond, Laura Mae"
CE,Earthquake Engr,82%,18%,0%,0%,0%,0%,0%,0%,0%,8080,"Pang, Weichiang"
CE,Geotech Site Charac,67%,33%,0%,0%,0%,0%,0%,0%,0%,8200,"Andrus, Ronald D."
CE,Apps in Traffic En,67%,33%,0%,0%,0%,0%,0%,0%,0%,8530,"Chowdhury, Mashrur A"
CE,Special Problems I,0%,0%,0%,0%,0%,0%,0%,NaN%,NaN%,8890,"Chowdhury, Mashrur A"
CH,General Chemistry,5%,16%,33%,16%,19%,0%,0%,10%,0%,1010,"Cox, Princess MyCia"
CH,General Chemistry,16%,18%,36%,12%,11%,0%,0%,8%,0%,1010,"Schroeder, Jacob D"
CH,General Chemistry,14%,14%,26%,17%,16%,0%,0%,10%,2%,1010,"Schvaneveldt, Stephen Jon"
CH,General Chemistry,28%,25%,26%,9%,5%,0%,0%,7%,0%,1010,"Smith, Ashlyn Dennis"
CH,General Chemistry,22%,19%,31%,15%,9%,0%,0%,4%,0%,1010,"Smith, Rhett C"
CH,General Chemistry,16%,24%,24%,8%,18%,0%,0%,10%,1%,1010,"Taylor, Dennis F"
CH,General Chemistry,16%,34%,18%,15%,7%,0%,0%,10%,0%,1020,"Cox, Princess MyCia"
CH,General Chemistry,16%,31%,24%,4%,18%,0%,0%,7%,0%,1020,"Geiculescu, Olt E"
CH,General Chemistry (HON),50%,34%,13%,3%,0%,0%,0%,0%,0%,1020,"Hwu, Shiou-jyh"
CH,"CH1020Schroeder, Jacob D",33%,32%,21.50%,4%,4.50%,0%,0%,4%,0%,1020,"Schroeder, Jacob D"
CH,General Chemistry,63%,26%,11%,0%,0%,0%,0%,0%,0%,1020,"Schvaneveldt, Stephen Jon"
CH,"CH1020Smith, Ashlyn Dennis",37.50%,32%,17.50%,7%,1%,0%,0%,4.50%,0%,1020,"Smith, Ashlyn Dennis"
CH,"CH1020Taylor, Dennis F",30%,34%,22%,7.50%,3.50%,0%,0%,2.50%,0%,1020,"Taylor, Dennis F"
CH,"CH1020Williams, Charles Bryson",24.67%,34.33%,24.67%,8.67%,2.33%,0%,0%,4%,0.33%,1020,"Williams, Charles Bryson"
CH,Chemistry in Context I,44%,24%,12%,11%,0%,0%,0%,9%,0%,1050,"Geiculescu, Olt E"
CH,Chemistry in Context II,38%,31%,15%,8%,8%,0%,0%,0%,0%,1060,"Geiculescu, Olt E"
CH,Chemistry Communication,84%,6%,3%,3%,3%,0%,0%,0%,0%,1520,"Marcus, Richard K"
CH,Survey of Organic Chemist,92%,6%,1%,0%,0%,0%,0%,1%,0%,2010,"Wetzler, Modi"
CH,Intro Inorg Chem,71%,18%,12%,0%,0%,0%,0%,0%,0%,2050,"Tran, Thao Thi Thanh"
CH,Organic Chemistry,21%,20%,23%,13%,15%,0%,0%,8%,0%,2230,"Ennis, Elliot"
CH,"CH2230Hickman, Thomas D",26%,21.50%,22.50%,11%,15%,0%,0%,3.50%,0%,2230,"Hickman, Thomas D"
CH,"CH2240Ennis, Elliot",24.50%,37%,17.50%,10.50%,5.50%,0%,0%,4%,0.50%,2240,"Ennis, Elliot"
CH,Organic Chemistry,33%,26%,20%,12%,9%,0%,0%,0%,1%,2240,"Hickman, Thomas D"
CH,"CH2240Houjeiry, Tania",38.50%,34.50%,12%,5%,6.50%,0%,0%,2.50%,0.50%,2240,"Houjeiry, Tania"
CH,Organic Chemistry,63%,21%,16%,0%,0%,0%,0%,0%,0%,2240,"Whitehead, Daniel C"
CH,"CH2270Plampin, James Nelson",88.75%,0%,0%,0%,0%,0%,0%,11.75%,0%,2270,"Plampin, James Nelson"
CH,"CH2280Plampin, James Nelson",89.50%,0%,0%,0%,0%,0%,0%,10.50%,0%,2280,"Plampin, James Nelson"
CH,Physical Chemistry,21%,33%,15%,12%,15%,0%,0%,0%,3%,3320,"Stuart, Steven J"
CH,"CH3400Cox, Princess MyCia",75.33%,12%,0%,7.67%,5%,0%,0%,0%,0%,3400,"Cox, Princess MyCia"
CH,Chemical Biology,72%,24%,0%,0%,0%,0%,0%,3%,0%,3600,"Wetzler, Modi"
CH,Bioinorganic Chem,38%,43%,5%,5%,0%,0%,0%,10%,0%,4040,"Brumaghim, Julia"
CH,Instrumental Analysis,24%,17%,7%,24%,28%,0%,0%,0%,0%,4110,"Chumanov, George"
CH,Instr Analysis Lab,54%,38%,8%,0%,0%,0%,0%,0%,0%,4120,"Anker, Jeffrey Nathan"
CH,Chemistry of Aqueous Syst,88%,9%,3%,0%,0%,0%,0%,0%,0%,4130,"Lee, Cindy M"
CH,Chemistry Capstone,91%,9%,0%,0%,0%,0%,0%,0%,0%,4500,"Houjeiry, Tania"
CH,Cr Inq in Chemistry IV,80%,0%,0%,0%,0%,0%,0%,0%,20%,4990,"Pennington, William T"
CH,Theor Inorg Chem,89%,11%,0%,0%,0%,0%,0%,0%,0%,8050,"Kolis, Joseph W"
CH,Organic Chem II,45%,0%,27%,0%,18%,0%,0%,0%,9%,8220,"Kim, Byoungmoo"
CH,Grad Student Seminar,93%,7%,0%,0%,0%,0%,0%,0%,0%,8510,"Saha, Sourav"
CH,Select Topic Bioanalytical C,5%,80%,5%,0%,0%,0%,0%,0%,10%,9100,"Garcia Perez, Carlos Diego"
CH,Doctoral Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Anker, Jeffrey Nathan"
CH,Doctoral Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Brumaghim, Julia"
CH,Doctoral Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Kim, Byoungmoo"
CH,Doctoral Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Kolis, Joseph W"
CH,Doctoral Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Marcus, Richard K"
CH,Doctoral Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Perahia, Dvora"
CH,Doctoral Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Smith, Rhett C"
CH,Doctoral Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Whitehead, Daniel C"
CHE,"CHE1300Norfolk, Christopher W",36.50%,18%,20%,4.50%,6%,0%,0%,16%,0%,1300,"Norfolk, Christopher W"
CHE,Chem Engr Thermodynami,48%,26%,11%,8%,5%,0%,0%,2%,0%,2200,"Alba Rubio, Ana Carolina"
CHE,Fluids/Heat Transfer,34%,38%,14%,11%,2%,0%,0%,2%,0%,2300,"Yang, Ming"
CHE,Creative Inquiry in CHE- N,0%,0%,0%,0%,0%,100%,0%,0%,0%,2990,"Larsen, Jessica Marie"
CHE,CI in CHE- PROSTHETICS,0%,0%,0%,0%,0%,100%,0%,0%,0%,2990,"Norfolk, Christopher W"
CHE,Unit Ops Lab I,19%,57%,19%,2%,2%,0%,0%,0%,0%,3070,"Norfolk, Christopher W"
CHE,Engr Materials,18%,42%,21%,13%,5%,0%,0%,2%,0%,3190,"Ogale, Amod A"
CHE,Proc Dyn & Control,50%,35%,13%,2%,0%,0%,0%,0%,0%,3530,"Roat, Suzanne Deirdre"
CHE,Process Design II,56%,44%,0%,0%,0%,0%,0%,0%,0%,4330,"Roat, Suzanne Deirdre"
CHE,"Safety, Env & Prof Practice",0%,0%,0%,0%,0%,100%,0%,0%,0%,4440,"Husson, Scott M"
CHE,Pharmaceutical Engr Proce,92%,6%,2%,0%,0%,0%,0%,0%,0%,4450,"Larsen, Jessica Marie"
CHE,Graduate Seminar,0%,0%,0%,0%,0%,100%,0%,0%,0%,8950,"Husson, Scott M"
CHE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Getman, Rachel B"
CHE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Larsen, Jessica Marie"
CHE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Thies, Mark C"
CHIN,Elementary Chinese,36%,29%,21%,0%,7%,0%,0%,7%,0%,1010,"Zhang, Yanhua"
CHIN,Philosophy in Medieval Chi,57%,29%,0%,14%,0%,0%,0%,0%,0%,4140,"An, Yanming"
CHIN,Slct Tpcs Chin Cult,87%,0%,0%,0%,0%,0%,0%,0%,13%,4990,"Chen, Su-I"
COM,"COM1010Pindar, Lori Marlise",0%,0%,0%,0%,0%,96%,4%,0%,0%,1010,"Pindar, Lori Marlise"
COM,Intro to Human Communic,77%,14%,3%,1%,3%,0%,0%,2%,0%,1500,"Condon, Vanessa Anne"
COM,"COM1500Fecher, Daniel Leland",85.67%,9.67%,1.33%,0.33%,2%,0%,0%,1.67%,0%,1500,"Fecher, Daniel Leland"
COM,"COM1500Glaser, Marianne Herr",86.50%,8.50%,2%,0%,2%,0%,0%,1%,0%,1500,"Glaser, Marianne Herr"
COM,"COM2010Baker, Caitlin E",77%,20%,1.50%,0%,0%,0%,0%,1.50%,0%,2010,"Baker, Caitlin E"
COM,Communication Theory,72%,17%,0%,0%,11%,0%,0%,0%,0%,2020,"Okamoto, Kristen Elaine"
COM,Communication Theory,65%,23%,4%,8%,0%,0%,0%,0%,0%,2020,"Taweh, Jumah Patricia"
COM,"COM2030Hakim, Samuel David",82%,13.50%,4.50%,0%,0%,0%,0%,0%,0%,2030,"Hakim, Samuel David"
COM,Public Speaking,91%,9%,0%,0%,0%,0%,0%,0%,0%,2500,"Baker, Caitlin E"
COM,"COM2500Brewer, Charles John",59.25%,30%,7.25%,1.25%,0%,0%,0%,2.50%,0%,2500,"Brewer, Charles John"
COM,"COM2500Condon, Vanessa Anne",86%,8%,3%,0%,3.33%,0%,0%,0%,0%,2500,"Condon, Vanessa Anne"
COM,"COM2500Covert, Marshall Thomas",55.25%,33.25%,7.25%,1.25%,2.50%,0%,0%,0%,0%,2500,"Covert, Marshall Thomas"
COM,"COM2500Crocker, Sara Grumbles",74.33%,12.67%,1.67%,1.67%,1.67%,0%,0%,8.33%,0%,2500,"Crocker, Sara Grumbles"
COM,"COM2500Davis, Alexis Zachary",74.25%,13.25%,1.25%,2.75%,3.75%,0%,0%,5.25%,0%,2500,"Davis, Alexis Zachary"
COM,Public Speaking,76%,18%,6%,0%,0%,0%,0%,0%,0%,2500,"Fecher, Daniel Leland"
COM,Public Speaking,67%,14%,5%,0%,0%,0%,0%,14%,0%,2500,"Gilmore, Elizabeth Ann Kaszynski"
COM,Public Speaking,76%,19%,0%,0%,0%,0%,0%,0%,5%,2500,"Hakim, Samuel David"
COM,"COM2500Pikel, Ashley Lauren",55.75%,20.50%,11%,3.75%,2.50%,0%,0%,7.50%,0%,2500,"Pikel, Ashley Lauren"
COM,"COM2500Ratliff, William Charles",73.25%,19.75%,3.50%,1.25%,0%,0%,0%,2.50%,0%,2500,"Ratliff, William Charles"
COM,"COM2500Taweh, Jumah Patricia",79.33%,13%,1.67%,0%,5%,0%,0%,1.67%,0%,2500,"Taweh, Jumah Patricia"
COM,"COM2500VanWalleghen, Madison Remi",69%,19.33%,5%,0%,3.33%,0%,0%,3.33%,0%,2500,"VanWalleghen, Madison Remi"
COM,Public Comm & Pop Cultur,69%,23%,8%,0%,0%,0%,0%,0%,0%,3080,"Ash, Erin Michelle"
COM,Storytelling and Reporting,92%,0%,0%,4%,0%,0%,0%,4%,0%,3130,"Robertson, Nigel F"
COM,Multimedia Journalism,90%,5%,0%,5%,0%,0%,0%,0%,0%,3140,"Johnson, Wanda A"
COM,Media Comm & Social Iden,85%,15%,0%,0%,0%,0%,0%,0%,0%,3180,"Ash, Erin Michelle"
COM,Social Media Analytics,80%,10%,0%,0%,0%,0%,0%,10%,0%,3230,"Henderson, William Joseph"
COM,"Communication, Sport & S",56%,44%,0%,0%,0%,0%,0%,0%,0%,3240,"Cranmer, Gregory Keith"
COM,Survey of Sports Communi,74%,17%,9%,0%,0%,0%,0%,0%,0%,3250,"Cranmer, Gregory Keith"
COM,Survey of Sports Communi,76%,20%,0%,0%,0%,0%,0%,4%,0%,3250,"Harrison, Virginia Susan"
COM,Media Communication,74%,17%,9%,0%,0%,0%,0%,0%,0%,3310,"Gilmore, James Nicholas"
COM,Live Studio Production,84%,5%,5%,0%,0%,0%,0%,5%,0%,3410,"Rodgers, Michael E."
COM,Interpersonal Comm,64%,14%,14%,0%,5%,0%,0%,5%,0%,3480,"Wingate, Victoria Skye"
COM,Argue and Debate,83%,8%,0%,0%,0%,0%,0%,8%,0%,3610,"Dixon, Lindsey C"
COM,Undergraduate Tutors,64%,18%,18%,0%,0%,0%,0%,0%,0%,3660,"Davis, Alyssa Christine"
COM,Political Comm,65%,23%,12%,0%,0%,0%,0%,0%,0%,3690,"Linvill, Darren L"
COM,Communication and Healt,82%,9%,5%,5%,0%,0%,0%,0%,0%,3810,"Wingate, Victoria Skye"
COM,Comm in Sports Organizati,82%,14%,0%,0%,0%,0%,0%,4%,0%,4270,"Harrison, Virginia Susan"
COM,Communication Internship,0%,0%,0%,0%,0%,94%,3%,3%,0%,4900,"Pindar, Lori Marlise"
COM,Academic & Professional D,0%,0%,0%,0%,0%,100%,0%,0%,0%,4980,"Pindar, Lori Marlise"
COM,Communication Pedagogy,0%,0%,0%,0%,0%,100%,0%,0%,0%,8000,"Gilmore, Elizabeth Ann Kaszynski"
COM,Thesis Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,8910,"Ash, Erin Michelle"
COM,Colloquium,0%,0%,0%,0%,0%,100%,0%,0%,0%,8980,"Gilmore, James Nicholas"
COOP,Co-Op Education,0%,0%,0%,0%,0%,100%,0%,0%,0%,1010,"Neal, Jeffrey Frank"
COOP,Co-Op Education,0%,0%,0%,0%,0%,100%,0%,0%,0%,1020,"Neal, Jeffrey Frank"
COOP,Co-Op Education,0%,0%,0%,0%,0%,100%,0%,0%,0%,1030,"Neal, Jeffrey Frank"
COOP,Co-Op Education,0%,0%,0%,0%,0%,100%,0%,0%,0%,2010,"Neal, Jeffrey Frank"
COOP,Co-Op Education,0%,0%,0%,0%,0%,100%,0%,0%,0%,2020,"Neal, Jeffrey Frank"
CPSC,Computer Science I,20%,33%,21%,6%,6%,0%,0%,13%,0%,1010,"Russell, Carrie Lynn"
CPSC,"CPSC1020Herzog, Alexander Christoph",23%,35%,21.50%,6%,6%,0%,0%,8%,0.50%,1020,"Herzog, Alexander Christoph"
CPSC,Intro to Programming in Ja,20%,20%,18%,9%,21%,0%,0%,13%,0%,1060,"Sun, Yu-Shan"
CPSC,Programming Methodolog,24%,39%,17%,8%,1%,0%,0%,11%,0%,1070,"Plaue, Christopher M"
CPSC,Intro to Programming in C,28%,42%,12%,3%,11%,0%,0%,5%,0%,1110,"Kittelstad, Catherine Ann"
CPSC,Computational Thinking,43%,0%,14%,0%,29%,0%,0%,14%,0%,1210,"Babu, Sabarish Venkat"
CPSC,Discrete Structures,19%,30%,17%,13%,13%,0%,0%,8%,0%,2070,"Hedetniemi, Sandra M"
CPSC,Discrete Structures,62%,26%,3%,3%,3%,0%,0%,2%,0%,2070,"Widman, Nicolas Benjamin"
CPSC,"CPSC2120Widman, Nicolas Benjamin",62%,20%,7%,0%,6.67%,0%,0%,4.33%,0%,2120,"Widman, Nicolas Benjamin"
CPSC,"CPSC2150Sun, Yu-Shan",24%,32%,16.50%,6.50%,15%,0%,0%,6.50%,0%,2150,"Sun, Yu-Shan"
CPSC,Software Dev Foundations,29%,29%,25%,0%,4%,0%,0%,13%,0%,2150,"Van Scoy, Roger Larry"
CPSC,Problem Solving w/ Office,59%,17%,4%,9%,11%,0%,0%,0%,0%,2200,"Kittelstad, Catherine Ann"
CPSC,"CPSC2310Feaster, Yvon H.",36.50%,31%,17.50%,3%,5%,0%,0%,7%,0%,2310,"Feaster, Yvon H."
CPSC,"CPSC2910Kittelstad, Catherine Ann",69%,16.33%,7.67%,1.33%,2.33%,0%,0%,3%,0%,2910,"Kittelstad, Catherine Ann"
CPSC,Prof Issues I,68%,25%,7%,0%,0%,0%,0%,0%,0%,2910,"Taylor, Constance Louise"
CPSC,"Computing, Ethics & Societ",80%,14%,4%,0%,1%,0%,0%,0%,0%,2920,"Shue, Mitch"
CPSC,Design Analysis of Algorith,49%,29%,7%,1%,10%,0%,0%,4%,0%,3120,"Srimani, Pradip K."
CPSC,Intro to Operating Systems,47%,25%,20%,1%,6%,0%,0%,0%,0%,3220,"Drachova, Svetlana V"
CPSC,Computer Systems Org,44%,15%,20%,12%,8%,0%,0%,0%,1%,3300,"Smotherman, Mark K"
CPSC,Foundations of Computer,27%,51%,15%,5%,0%,0%,0%,2%,0%,3500,"Goddard, Wayne D"
CPSC,Foundations of Computer,70%,27%,3%,0%,0%,0%,0%,0%,0%,3500,"Yang, Yin"
CPSC,Programming Systems,70%,27%,3%,0%,1%,0%,0%,0%,0%,3520,"Ligon, Walter B"
CPSC,Network Programming,61%,22%,10%,2%,2%,0%,0%,3%,0%,3600,"Cheng, Long"
CPSC,Network Programming,52%,24%,12%,3%,7%,0%,0%,2%,0%,3600,"Drachova, Svetlana V"
CPSC,Systems Analysis,43%,39%,16%,0%,0%,0%,0%,2%,0%,3710,"Van Scoy, Roger Larry"
CPSC,Software Engineering,53%,31%,10%,2%,4%,0%,0%,0%,0%,3720,"Brinkley, Julian Langston"
CPSC,Software Engineering,46%,48%,6%,0%,0%,0%,0%,0%,0%,3720,"Taylor, Constance Louise"
CPSC,Computer Graphics,35%,29%,6%,0%,6%,0%,0%,18%,6%,4050,"Dhillon, Daljit Singh"
CPSC,Virtual Reality Systems,38%,38%,12%,2%,0%,0%,0%,10%,0%,4110,"Robb, Andrew C"
CPSC,Human and Computer Inte,80%,9%,6%,0%,0%,0%,0%,6%,0%,4140,"Babu, Sabarish Venkat"
CPSC,Usable Privacy and Securit,74%,11%,8%,3%,3%,0%,0%,3%,0%,4180,"Caine, Kelly E"
CPSC,Computer Security Principl,64%,36%,0%,0%,0%,0%,0%,0%,0%,4200,"Zhang, Zhenkai"
