Course,Title,A,B,C,D,F,P,N(P),W,I,Number,Professor
SPAN,The Hispanic World: Latin,74%,22%,0%,0%,0%,0%,0%,4%,0%,3080,"Palacios, George"
SPAN,Hispanic Linguistics,71%,14%,7%,0%,7%,0%,0%,0%,0%,3140,"Smith, Daniel J"
SPAN,Spanish for Health Prof,86%,14%,0%,0%,0%,0%,0%,0%,0%,3150,"Judez Riquelme, Maria Rosa"
SPAN,Spanish for Int'l Business I,64%,27%,5%,0%,0%,0%,0%,5%,0%,3160,"Garcia Vieyra, Daniel David"
SPAN,Narrative Fiction,76%,12%,4%,0%,8%,0%,0%,0%,0%,4060,"Anido, Raquel"
SPAN,Hispanic Film,68%,14%,0%,4%,0%,0%,0%,14%,0%,4070,"Anido, Raquel"
SPAN,Prof Communication,73%,18%,9%,0%,0%,0%,0%,0%,0%,4170,"Ortiz, Jose Luis"
SPAN,Technical Span Health Mgt,55%,40%,0%,0%,0%,0%,0%,0%,5%,4180,"Moore Peralta, Arelis"
SPAN,Health & Hispanic Commu,73%,13%,13%,0%,0%,0%,0%,0%,0%,4190,"Moore Peralta, Arelis"
SSCI,Quant Methods for Soc Sci,40%,60%,0%,0%,0%,0%,0%,0%,0%,8070,"Luo, Ye"
STAT,Statistics in Everyday Life,24%,51%,12%,5%,7%,0%,0%,0%,0%,2220,"Bachstein, Anna Caroline Charlotte"
STAT,"STAT2220Elston, Morgan Elizabeth",23.33%,38.33%,20.33%,9%,7.67%,0%,0%,1.67%,0%,2220,"Elston, Morgan Elizabeth"
STAT,"STAT2220Jayasekara Merenchige, Pubudu",36%,38%,9.75%,8.75%,6.75%,0%,0%,0.75%,0%,2220,"Jayasekara Merenchige, Pubudu"
STAT,Statistics in Everyday Life,26%,31%,24%,7%,7%,0%,0%,5%,0%,2220,"Kelly, Sarah M"
STAT,Statistical Methods I,43%,33%,12%,3%,5%,0%,0%,5%,0%,2300,"Guo, Na"
STAT,Statistical Methods I (HON,84%,16%,0%,0%,0%,0%,0%,0%,0%,2300,"Norton, Paran Rebekah"
STAT,Statistical Methods I,24%,36%,22%,6%,5%,0%,0%,8%,0%,2300,"Squires, Trevor E"
STAT,Statistical Methods I,33%,37%,22%,5%,2%,0%,0%,1%,0%,2300,"Vagnozzi, Anna Marie"
STAT,"STAT2300Walker, S Erwin",26%,35%,21%,10.50%,3.50%,0%,0%,4%,0%,2300,"Walker, S Erwin"
STAT,Introductory Business Stat,39%,37%,15%,4%,2%,0%,0%,2%,0%,3090,"Frost, David luke"
STAT,Introductory Business Stat,39%,26%,15%,9%,9%,0%,0%,0%,2%,3090,"Guo, Cheng"
STAT,"STAT3090Guo, Na",31.67%,34.33%,16%,5%,12%,0%,0%,0.67%,0%,3090,"Guo, Na"
STAT,Introductory Business Stat,43%,32%,18%,5%,2%,0%,0%,0%,0%,3090,"Hamlin, Benjamin James"
STAT,Introductory Business Stat,24%,60%,7%,2%,0%,0%,0%,4%,2%,3090,"Honecker, Molly Adams"
STAT,Introductory Business Stat,44%,27%,20%,0%,4%,0%,0%,4%,0%,3090,"Joyce, Alexander L"
STAT,Introductory Business Stat,63%,22%,11%,0%,4%,0%,0%,0%,0%,3090,"Kerfonta, Caroline"
STAT,Introductory Business Stat,33%,31%,18%,7%,9%,0%,0%,2%,0%,3090,"Kreuser, Katherine Z"
STAT,Introductory Business Stat,29%,46%,20%,2%,0%,0%,0%,2%,0%,3090,"Ma, Pulong"
STAT,Introductory Business Stat,34%,32%,9%,11%,14%,0%,0%,0%,0%,3090,"Nazari, Seyed Hamid"
STAT,Introductory Business Stat,33%,23%,31%,0%,13%,0%,0%,0%,0%,3090,"Smith, Blake James"
STAT,"STAT3090Thomas, April L",47.50%,29%,17%,5.50%,1%,0%,0%,0%,0%,3090,"Thomas, April L"
STAT,Introductory Business Stat,28%,26%,23%,5%,12%,0%,0%,7%,0%,3090,"Wan, Sha"
STAT,Introductory Business Stat,29%,35%,21%,9%,3%,0%,0%,3%,0%,3090,"Wang, Jingjing"
STAT,Statistical Methods II,90%,10%,0%,0%,0%,0%,0%,0%,0%,3300,"Norton, Paran Rebekah"
STAT,Intro to Statistical Computi,64%,11%,8%,3%,8%,0%,0%,3%,3%,4020,"Breazel, Ellen Hepfer"
STAT,Stat Mthds for Process Con,58%,13%,23%,0%,3%,0%,0%,3%,0%,4110,"Ranganathan, Shyam"
STAT,Intro to Statistical Computi,93%,7%,0%,0%,0%,0%,0%,0%,0%,6020,"Breazel, Ellen Hepfer"
STAT,Statistical Methods I,48%,36%,12%,0%,0%,0%,0%,3%,0%,8010,"Bible, Joseph Daniel"
STAT,"STAT8010Bridges, William C",48%,50.50%,0%,0%,0%,0%,0%,1.50%,0%,8010,"Bridges, William C"
STAT,Statistical Methods I,90%,7%,0%,0%,0%,0%,0%,3%,0%,8010,"Luo, Jun"
STAT,Regress & Least Squares A,70%,17%,9%,0%,0%,0%,0%,4%,0%,8030,"Wang, Yu-Bo"
STAT,Sampling,62%,31%,0%,0%,0%,0%,0%,8%,0%,8040,"Gerard, Patrick D"
STAT,Design & Anlys of Experim,71%,18%,0%,0%,0%,0%,0%,12%,0%,8050,"Luo, Jun"
STS,Survey Sci & Techn in Socie,91%,6%,3%,0%,0%,0%,0%,0%,0%,1010,"Billinis, Alexander John"
STS,Survey Sci & Techn in Socie,38%,44%,9%,0%,0%,0%,0%,9%,0%,1010,"Foltz, David Charles"
